"method","wert","baum"
"Raten",6.43984682399534,"B3"
"Raten",3.11142811985362,"B2"
"Raten",3.14627409335547,"B3"
"Raten",7.23434788130681,"B2"
"Raten",11.1304399536999,"B2"
"Raten",18.6141233226657,"B2"
"Raten",4.60778999445715,"B1"
"Raten",5.91302006616622,"B1"
"Raten",15.7800710232139,"B2"
"Raten",12.1386228774442,"B2"
"Laser",8.83774428298765,"B3"
"Laser",11.2168197670162,"B2"
"Laser",9.60002979077929,"B1"
"Laser",9.33321527491336,"B1"
"Laser",11.4145440524867,"B1"
"Laser",8.62440728779614,"B2"
"Laser",10.6220276601159,"B1"
"Laser",9.28831942818589,"B1"
"Laser",9.83606764644655,"B3"
"Laser",11.9849611271146,"B2"
"Laser",11.0308944839206,"B3"
"Laser",9.07619567684069,"B3"
"Laser",8.73854621835216,"B3"
"Laser",10.7521856730373,"B2"
"Laser",9.21297636739108,"B3"
"App",8.88145573995019,"B1"
"App",8.65380362444069,"B3"
"App",10.2110998494025,"B3"
"App",8.99810207238122,"B3"
"App",9.42061168580463,"B2"
"App",9.54209827358245,"B2"
"App",11.746182262382,"B3"
"App",5.25894878845334,"B2"
"App",12.5747351945861,"B2"
"App",10.9307270732414,"B3"
"App",13.3125805034392,"B2"
"App",10.6441058934745,"B1"
"App",9.76872880974131,"B1"
"App",10.8159047488422,"B1"
"App",8.40851946690882,"B1"
"App",11.0655005607016,"B1"
"App",13.2389714750025,"B2"
"App",8.73478197636247,"B2"
"App",9.46575546790151,"B2"
"App",7.01260001987651,"B2"
